korridor_fra;korridor_til;id2;kvartal;weekday_indicator;time_of_day;reiser;co2_tonn
Klepp;Solborg (Stavanger);buss;2024-4;Weekday;05:30-08:30;0,25308208190232073;0,44457399738834497
Klepp;Sandnes sentrum;buss;2024-4;Weekday;05:30-08:30;0,2915848385336959;0,2751811444160491
Hundvåg;Lura;buss;2024-2;Weekday;16:30-20:00;1,078011135209026;1,1307557004449058
Rennesøy;Lura;gange;2023-3;Weekend;Weekend;0,0;0,0
Bjergsted (Stavanger);Sykehuset;gange;2024-2;Weekday;16:30-20:00;3,101855326273802;0,0
Nærbø;Stavanger sentrum;bil;2021-4;Weekday;16:30-20:00;5,6539814772141295;19,18936258815744
Bjergsted (Stavanger);Forus;buss;2023-3;Weekday;08:30-13:30;2,0952219954473237;1,4867802798487761
Sykehuset;Bjergsted (Stavanger);bil;2019-4;Weekday;13:30-16:30;30,00317689350488;9,299206250249298
Sandnes sentrum;Nærbø;sykkel;2021-4;Weekday;05:30-08:30;0,0;0,0
Lura;Sandnes sentrum;gange;2021-2;Weekday;16:30-20:00;94,0889598406539;0,0
Ganddal (Sandnes);Sandnes sentrum;gange;2021-3;Weekday;08:30-13:30;155,79778612113316;0,0
Dusavika (Randaberg);Madla;sykkel;2025-1;Weekday;05:30-08:30;1,7465830577750399;0,0
Paradis (Stavanger);Hinnavågen;gange;2021-1;Weekday;05:30-08:30;36,34884890817227;0,0
Hinnavågen;Klepp;buss;2021-2;Weekday;13:30-16:30;0,07615030499331238;0,10761808718290024
Bjergsted (Stavanger);Nærbø;buss;2024-2;Weekday;08:30-13:30;0,0;0,0
Lura;Hundvåg;gange;2023-2;Weekday;08:30-13:30;0,14659375042103945;0,0
Solborg (Stavanger);Solborg (Stavanger);sykkel;2022-3;Weekday;13:30-16:30;54,217144201582954;0,0
Ganddal (Sandnes);Hundvåg;rail;2019-4;Weekend;Weekend;0,3069219118830928;0,0
Ganddal (Sandnes);Forus;buss;2023-3;Weekday;13:30-16:30;0,6058100093886514;0,384755332809766
Dusavika (Randaberg);Sola;bil;2024-4;Weekday;05:30-08:30;17,42145289520523;19,73408302629767
